common,scientific
Crested Myna,Acridotheres cristatellus
Siberian Accentor,Prunella montanella
Yellow Wagtail,Motacilla flava
Citrine Wagtail,Motacilla citreola
Gray Wagtail,Motacilla cinerea
White Wagtail,Motacilla alba
Black-backed Wagtail,Motacilla lugens
Tree Pipit,Anthus trivialis
Olive-backed Pipit,Anthus hodgsoni
Pechora Pipit,Anthus gustavi
Red-throated Pipit,Anthus cervinus
American Pipit,Anthus rubescens
Sprague's Pipit,Anthus spragueii
Bohemian Waxwing,Bombycilla garrulus
Cedar Waxwing,Bombycilla cedrorum
Gray Silky-flycatcher,Ptilogonys cinereus
Phainopepla,Phainopepla nitens
Olive Warbler,Peucedramus taeniatus
Bachman's Warbler,Vermivora bachmanii
Blue-winged Warbler,Vermivora pinus
Golden-winged Warbler,Vermivora chrysoptera
Tennessee Warbler,Vermivora peregrina
Orange-crowned Warbler,Vermivora celata
Nashville Warbler,Vermivora ruficapilla
Virginia's Warbler,Vermivora virginiae
Colima Warbler,Vermivora crissalis
Lucy's Warbler,Vermivora luciae
Crescent-chested Warbler,Parula superciliosa
Northern Parula,Parula americana
Tropical Parula,Parula pitiayumi
Yellow Warbler,Dendroica petechia
Chestnut-sided Warbler,Dendroica pensylvanica
Magnolia Warbler,Dendroica magnolia
Cape May Warbler,Dendroica tigrina
Black-throated Blue Warbler,Dendroica caerulescens
Yellow-rumped Warbler,Dendroica coronata
Black-throated Gray Warbler,Dendroica nigrescens
Golden-cheeked Warbler,Dendroica chrysoparia
Black-throated Green Warbler,Dendroica virens
Townsend's Warbler,Dendroica townsendi
Hermit Warbler,Dendroica occidentalis
Blackburnian Warbler,Dendroica fusca
Yellow-throated Warbler,Dendroica dominica
Grace's Warbler,Dendroica graciae
Pine Warbler,Dendroica pinus
Kirtland's Warbler,Dendroica kirtlandii
Prairie Warbler,Dendroica discolor
Palm Warbler,Dendroica palmarum
Bay-breasted Warbler,Dendroica castanea
Blackpoll Warbler,Dendroica striata
Cerulean Warbler,Dendroica cerulea
Black-and-white Warbler,Mniotilta varia
American Redstart,Setophaga ruticilla
Prothonotary Warbler,Protonotaria citrea
Worm-eating Warbler,Helmitheros vermivorus
Swainson's Warbler,Limnothlypis swainsonii
Ovenbird,Seiurus aurocapillus
Northern Waterthrush,Seiurus noveboracensis
Louisiana Waterthrush,Seiurus motacilla
Kentucky Warbler,Oporornis formosus
Connecticut Warbler,Oporornis agilis
Mourning Warbler,Oporornis philadelphia
MacGillivray's Warbler,Oporornis tolmiei
Common Yellowthroat,Geothlypis trichas
Gray-crowned Yellowthroat,Geothlypis poliocephala
Hooded Warbler,Wilsonia citrina
Wilson's Warbler,Wilsonia pusilla
Canada Warbler,Wilsonia canadensis
Red-faced Warbler,Cardellina rubrifrons
Painted Redstart,Myioborus pictus
Slate-throated Redstart,Myioborus miniatus
Fan-tailed Warbler,Euthlypis lachrymosa
Golden-crowned Warbler,Basileuterus culicivorus
Rufous-capped Warbler,Basileuterus rufifrons
Yellow-breasted Chat,Icteria virens
Bananaquit,Coereba flaveola
Hepatic Tanager,Piranga flava
Summer Tanager,Piranga rubra
Scarlet Tanager,Piranga olivacea
Western Tanager,Piranga ludoviciana
Flame-colored Tanager,Piranga bidentata
Stripe-headed Tanager,Spindalis zena
White-collared Seedeater,Sporophila torqueola
Yellow-faced Grassquit,Tiaris olivacea
Black-faced Grassquit,Tiaris bicolor
Olive Sparrow,Arremonops rufivirgatus
Green-tailed Towhee,Pipilo chlorurus
Spotted Towhee,Pipilo maculatus
Eastern Towhee,Pipilo erythrophthalmus
Canyon Towhee,Pipilo fuscus
California Towhee,Pipilo crissalis
Abert's Towhee,Pipilo aberti
Rufous-winged Sparrow,Aimophila carpalis
Cassin's Sparrow,Aimophila cassinii
Bachman's Sparrow,Aimophila aestivalis
Botteri's Sparrow,Aimophila botterii
Rufous-crowned Sparrow,Aimophila ruficeps
Five-striped Sparrow,Aimophila quinquestriata
American Tree Sparrow,Spizella arborea
Chipping Sparrow,Spizella passerina
Clay-colored Sparrow,Spizella pallida
Brewer's Sparrow,Spizella breweri
Field Sparrow,Spizella pusilla
Worthen's Sparrow,Spizella wortheni
Black-chinned Sparrow,Spizella atrogularis
Vesper Sparrow,Pooecetes gramineus
Lark Sparrow,Chondestes grammacus
Black-throated Sparrow,Amphispiza bilineata
Sage Sparrow,Amphispiza belli
Lark Bunting,Calamospiza melanocorys
Savannah Sparrow,Passerculus sandwichensis
Grasshopper Sparrow,Ammodramus savannarum
Baird's Sparrow,Ammodramus bairdii
Henslow's Sparrow,Ammodramus henslowii
Le Conte's Sparrow,Ammodramus leconteii
Nelson's Sharp-tailed Sparrow,Ammodramus nelsoni
Saltmarsh Sharp-tailed Sparrow,Ammodramus caudacutus
Seaside Sparrow,Ammodramus maritimus
Fox Sparrow,Passerella iliaca
Song Sparrow,Melospiza melodia
Lincoln's Sparrow,Melospiza lincolnii
Swamp Sparrow,Melospiza georgiana
White-throated Sparrow,Zonotrichia albicollis
Harris's Sparrow,Zonotrichia querula
White-crowned Sparrow,Zonotrichia leucophrys
Golden-crowned Sparrow,Zonotrichia atricapilla
Dark-eyed Junco,Junco hyemalis
Yellow-eyed Junco,Junco phaeonotus
McCown's Longspur,Calcarius mccownii
Lapland Longspur,Calcarius lapponicus
Smith's Longspur,Calcarius pictus
Chestnut-collared Longspur,Calcarius ornatus
Pine Bunting,Emberiza leucocephalos
Little Bunting,Emberiza pusilla
Rustic Bunting,Emberiza rustica
Yellow-breasted Bunting,Emberiza aureola
Gray Bunting,Emberiza variabilis
Pallas's Bunting,Emberiza pallasi
Reed Bunting,Emberiza schoeniclus
Snow Bunting,Plectrophenax nivalis
McKay's Bunting,Plectrophenax hyperboreus
Crimson-collared Grosbeak,Rhodothraupis celaeno
Northern Cardinal,Cardinalis cardinalis
Pyrrhuloxia,Cardinalis sinuatus
Yellow Grosbeak,Pheucticus chrysopeplus
Rose-breasted Grosbeak,Pheucticus ludovicianus
Black-headed Grosbeak,Pheucticus melanocephalus
Blue Bunting,Cyanocompsa parellina
Blue Grosbeak,Guiraca caerulea
Lazuli Bunting,Passerina amoena
Indigo Bunting,Passerina cyanea
Varied Bunting,Passerina versicolor
Painted Bunting,Passerina ciris
Dickcissel,Spiza americana
Bobolink,Dolichonyx oryzivorus
Red-winged Blackbird,Agelaius phoeniceus
Tricolored Blackbird,Agelaius tricolor
Tawny-shouldered Blackbird,Agelaius humeralis
Eastern Meadowlark,Sturnella magna
Western Meadowlark,Sturnella neglecta
Yellow-headed Blackbird,Xanthocephalus xanthocephalus
Rusty Blackbird,Euphagus carolinus
Brewer's Blackbird,Euphagus cyanocephalus
Common Grackle,Quiscalus quiscula
Boat-tailed Grackle,Quiscalus major
Great-tailed Grackle,Quiscalus mexicanus
Shiny Cowbird,Molothrus bonariensis
Bronzed Cowbird,Molothrus aeneus
Brown-headed Cowbird,Molothrus ater
Black-vented Oriole,Icterus wagleri
Orchard Oriole,Icterus spurius
Hooded Oriole,Icterus cucullatus
Streak-backed Oriole,Icterus pustulatus
Spot-breasted Oriole,Icterus pectoralis
Altamira Oriole,Icterus gularis
Audubon's Oriole,Icterus graduacauda
Baltimore Oriole,Icterus galbula
Bullock's Oriole,Icterus bullockii
Scott's Oriole,Icterus parisorum
Common Chaffinch,Fringilla coelebs
Brambling,Fringilla montifringilla
Gray-crowned Rosy-Finch,Leucosticte tephrocotis
Black Rosy-Finch,Leucosticte atrata
Brown-capped Rosy-Finch,Leucosticte australis
Pine Grosbeak,Pinicola enucleator
Common Rosefinch,Carpodacus erythrinus
Purple Finch,Carpodacus purpureus
Cassin's Finch,Carpodacus cassinii
House Finch,Carpodacus mexicanus
Red Crossbill,Loxia curvirostra
White-winged Crossbill,Loxia leucoptera
Common Redpoll,Carduelis flammea
Hoary Redpoll,Carduelis hornemanni
Eurasian Siskin,Carduelis spinus
Pine Siskin,Carduelis pinus
Lesser Goldfinch,Carduelis psaltria
Lawrence's Goldfinch,Carduelis lawrencei
American Goldfinch,Carduelis tristis
Oriental Greenfinch,Carduelis sinica
Eurasian Bullfinch,Pyrrhula pyrrhula
Evening Grosbeak,Coccothraustes vespertinus
Hawfinch,Coccothraustes coccothraustes
House Sparrow,Passer domesticus
Eurasian Tree Sparrow,Passer montanus
